date,region,product,category,units_sold,unit_price,revenue,cost,profit,sales_rep
2025-10-16,North,Widget,Accessories,75,65.0,4875.0,2188.09,2686.91,Alice
2025-11-23,North,Contraption,Hardware,12,27.96,335.52,161.53,173.99,Eve
2024-01-28,South,Contraption,Hardware,119,149.37,17775.03,12145.69,5629.34,Alice
2024-06-12,West,Gizmo,Software,44,57.75,2541.0,1695.41,845.59,Alice
2024-04-04,West,Widget,Software,93,152.91,14220.63,9705.51,4515.12,Dave
2025-07-03,North,Contraption,Hardware,146,76.83,11217.18,6954.92,4262.26,Carol
2025-08-14,South,Widget,Hardware,174,60.84,10586.16,5306.69,5279.47,Alice
2024-08-26,North,Contraption,Software,121,160.74,19449.54,10263.35,9186.19,Carol
2024-12-29,South,Gizmo,Accessories,179,163.77,29314.83,17975.73,11339.1,Bob
2025-06-30,South,Gadget,Software,102,71.14,7256.28,5252.73,2003.55,Eve
2024-08-12,East,Widget,Hardware,13,202.24,2629.12,1420.8,1208.32,Alice
2024-08-04,East,Gadget,Accessories,132,101.93,13454.76,9688.66,3766.1,Dave
2024-05-26,East,Gadget,Hardware,195,142.54,27795.3,13674.16,14121.14,Eve
2025-03-14,West,Gizmo,Hardware,40,129.83,5193.2,2242.52,2950.68,Alice
2024-04-22,South,Gadget,Accessories,113,151.12,17076.56,9130.3,7946.26,Eve
2025-04-24,East,Widget,Accessories,189,33.07,6250.23,4435.64,1814.59,Carol
2025-10-18,East,Widget,Software,116,43.75,5075.0,2035.76,3039.24,Carol
2025-05-27,South,Widget,Accessories,81,211.21,17108.01,9882.99,7225.02,Bob
2024-06-05,East,Gadget,Accessories,140,230.03,32204.2,19632.67,12571.53,Dave
2024-01-20,North,Gizmo,Software,66,19.19,1266.54,895.83,370.71,Alice
2024-03-28,West,Widget,Accessories,37,36.46,1349.02,764.02,585.0,Eve
2024-06-18,East,Contraption,Hardware,143,190.04,27175.72,17431.97,9743.75,Carol
2025-02-12,East,Contraption,Accessories,120,34.65,4158.0,1990.2,2167.8,Carol
2024-01-22,South,Gadget,Hardware,23,178.42,4103.66,1726.02,2377.64,Alice
2024-02-02,East,Widget,Accessories,65,73.23,4759.95,2712.67,2047.28,Eve
2024-05-15,West,Gadget,Software,109,51.65,5629.85,2442.94,3186.91,Dave
2024-12-28,West,Contraption,Software,191,18.27,3489.57,2193.93,1295.64,Alice
2024-03-03,West,Gizmo,Hardware,68,51.94,3531.92,2075.71,1456.21,Bob
2025-03-08,South,Gizmo,Software,68,219.25,14909.0,6356.97,8552.03,Eve
2024-04-10,North,Widget,Hardware,197,212.93,41947.21,19220.58,22726.63,Dave
2025-05-07,South,Contraption,Hardware,47,97.85,4598.95,3425.57,1173.38,Carol
2025-04-10,East,Contraption,Accessories,192,248.88,47784.96,28409.06,19375.9,Dave
2024-06-07,South,Gizmo,Hardware,19,146.9,2791.1,1646.1,1145.0,Carol
2024-02-28,North,Contraption,Accessories,140,43.57,6099.8,4491.12,1608.68,Alice
2024-07-09,North,Widget,Accessories,65,103.93,6755.45,4928.5,1826.95,Eve
2024-09-09,North,Widget,Software,173,148.0,25604.0,14926.47,10677.53,Carol
2024-07-28,East,Gadget,Software,106,37.07,3929.42,2459.52,1469.9,Dave
2024-11-19,North,Widget,Software,164,249.62,40937.68,30647.33,10290.35,Alice
2025-07-04,South,Gizmo,Hardware,94,220.81,20756.14,14690.05,6066.09,Carol
2024-10-18,South,Contraption,Accessories,185,79.12,14637.2,10895.18,3742.02,Eve
2024-01-09,East,Widget,Hardware,72,33.28,2396.16,1048.23,1347.93,Eve
2024-06-08,East,Gizmo,Accessories,58,180.81,10486.98,4942.08,5544.9,Carol
2025-06-01,West,Gizmo,Hardware,28,160.4,4491.2,3100.15,1391.05,Alice
2024-01-04,East,Gadget,Accessories,72,44.59,3210.48,1780.67,1429.81,Dave
2025-07-28,North,Widget,Hardware,181,226.46,40989.26,24222.87,16766.39,Carol
2025-08-19,South,Contraption,Hardware,15,80.52,1207.8,863.15,344.65,Alice
2025-01-01,South,Gadget,Accessories,31,91.65,2841.15,1693.21,1147.94,Dave
2025-09-27,South,Gadget,Hardware,50,220.95,11047.5,4514.84,6532.66,Carol
2025-02-25,South,Gizmo,Hardware,184,31.48,5792.32,4085.08,1707.24,Dave
2024-08-15,South,Contraption,Software,83,206.03,17100.49,12055.21,5045.28,Bob
2024-01-25,South,Contraption,Software,76,216.77,16474.52,12164.97,4309.55,Carol
2024-12-25,West,Gizmo,Hardware,34,219.87,7475.58,3673.69,3801.89,Eve
2024-09-28,North,Widget,Accessories,116,89.69,10404.04,7025.33,3378.71,Dave
2025-09-12,North,Contraption,Accessories,53,67.41,3572.73,2315.4,1257.33,Alice
2025-06-16,South,Gizmo,Software,22,237.47,5224.34,3773.38,1450.96,Eve
2024-11-17,North,Gizmo,Accessories,84,168.39,14144.76,7272.73,6872.03,Carol
2025-07-21,South,Gadget,Software,175,235.39,41193.25,26242.62,14950.63,Bob
2025-09-22,East,Contraption,Accessories,5,79.45,397.25,188.12,209.13,Eve
2025-09-13,East,Contraption,Software,118,170.53,20122.54,11649.16,8473.38,Bob
2025-11-05,North,Gizmo,Accessories,174,160.07,27852.18,14408.38,13443.8,Bob
2025-11-19,East,Gadget,Hardware,42,10.98,461.16,223.98,237.18,Dave
2025-09-17,North,Contraption,Software,166,146.04,24242.64,15792.17,8450.47,Dave
2025-05-21,West,Gadget,Hardware,172,173.47,29836.84,21256.69,8580.15,Alice
